iter	Passed	Remaining
680	11083	5191
681	11102	5176
682	11118	5160
683	11133	5143
684	11145	5125
685	11160	5108
686	11174	5091
687	11189	5074
688	11203	5056
689	11219	5040
690	11236	5024
691	11252	5008
692	11265	4990
693	11279	4973
694	11295	4956
695	11309	4939
696	11323	4922
697	11336	4904
698	11349	4887
699	11361	4869
700	11375	4851
701	11394	4837
702	11413	4821
703	11431	4806
704	11450	4791
705	11464	4774
706	11480	4757
707	11493	4740
708	11508	4723
709	11524	4707
710	11539	4690
711	11556	4674
712	11572	4658
713	11588	4641
714	11602	4624
715	11614	4606
716	11630	4590
717	11643	4573
718	11659	4556
719	11675	4540
720	11689	4523
721	11702	4505
722	11719	4490
723	11734	4473
724	11750	4457
725	11765	4440
726	11779	4423
727	11795	4407
728	11809	4390
729	11824	4373
730	11840	4357
731	11856	4340
732	11872	4324
733	11890	4309
734	11907	4293
735	11920	4275
736	11936	4259
737	11949	4242
738	11963	4225
739	11976	4208
740	11991	4191
741	12005	4174
742	12022	4158
743	12035	4141
744	12052	4125
745	12065	4108
746	12079	4091
747	12093	4074
748	12106	4057
749	12120	4040
750	12135	4023
751	12149	4006
752	12163	3989
753	12176	3972
754	12190	3955
755	12203	3938
756	12217	3921
757	12233	3905
758	12249	3889
759	12265	3873
760	12282	3857
761	12299	3841
762	12315	3825
763	12329	3808
764	12347	3792
765	12363	3776
766	12379	3760
767	12397	3745
768	12413	3728
769	12428	3712
770	12444	3696
771	12458	3679
772	12474	3663
773	12492	3647
774	12510	3632
775	12528	3616
776	12546	3600
777	12564	3585
778	12580	3569
779	12596	3552
780	12609	3535
781	12624	3519
782	12641	3503
783	12657	3487
784	12671	3470
785	12688	3454
786	12704	3438
787	12717	3421
788	12731	3404
789	12745	3387
790	12760	3371
791	12778	3355
792	12791	3339
793	12805	3322
794	12818	3305
795	12832	3288
796	12844	3271
797	12859	3255
798	12874	3238
799	12891	3222
800	12906	3206
801	12920	3189
802	12934	3173
803	12948	3156
804	12964	3140
805	12977	3123
806	12996	3108
807	13010	3091
808	13024	3074
809	13041	3059
810	13055	3042
811	13069	3025
812	13083	3009
813	13097	2992
814	13111	2976
815	13127	2960
816	13140	2943
817	13155	2926
818	13168	2910
819	13184	2894
820	13201	2878
821	13218	2862
822	13233	2846
823	13248	2829
824	13263	2813
825	13281	2797
826	13297	2781
827	13313	2765
828	13326	2748
829	13340	2732
830	13354	2715
831	13369	2699
832	13386	2683
833	13403	2667
834	13424	2652
835	13438	2636
836	13452	2619
837	13466	2603
838	13480	2586
839	13494	2570
840	13510	2554
841	13526	2538
842	13539	2521
843	13551	2504
844	13566	2488
845	13582	2472
846	13598	2456
847	13612	2439
848	13628	2423
849	13642	2407
850	13656	2391
851	13670	2374
852	13684	2358
853	13700	2342
854	13716	2326
855	13732	2310
856	13746	2293
857	13761	2277
858	13774	2261
859	13788	2244
860	13801	2228
861	13818	2212
862	13833	2196
863	13847	2179
864	13860	2163
865	13873	2146
866	13887	2130
867	13901	2114
868	13914	2097
869	13927	2081
870	13942	2065
871	13956	2048
872	13970	2032
873	13985	2016
874	13998	1999
875	14012	1983
876	14027	1967
877	14041	1951
878	14053	1934
879	14067	1918
880	14080	1901
881	14093	1885
882	14106	1869
883	14120	1852
884	14134	1836
885	14149	1820
886	14163	1804
887	14179	1788
888	14194	1772
889	14208	1756
890	14221	1739
891	14237	1723
892	14252	1707
893	14268	1691
894	14283	1675
895	14298	1659
896	14314	1643
897	14329	1627
898	14343	1611
899	14356	1595
900	14369	1578
901	14384	1562
902	14405	1547
903	14420	1531
904	14434	1515
905	14449	1499
906	14465	1483
907	14480	1467
908	14495	1451
909	14509	1435
910	14523	1418
911	14537	1402
912	14553	1386
913	14568	1370
914	14584	1354
915	14599	1338
916	14613	1322
917	14627	1306
918	14643	1290
919	14661	1274
920	14676	1258
921	14689	1242
922	14705	1226
923	14723	1211
924	14737	1194
925	14750	1178
926	14763	1162
927	14779	1146
928	14795	1130
929	14811	1114
930	14827	1098
931	14843	1083
932	14856	1066
933	14871	1050
934	14888	1035
935	14909	1019
936	14926	1003
937	14939	987
938	14953	971
939	14968	955
940	14981	939
941	14995	923
942	15009	907
943	15024	891
944	15039	875
945	15053	859
946	15066	843
947	15082	827
948	15101	811
949	15117	795
950	15133	779
951	15149	763
952	15165	747
953	15178	731
954	15192	715
955	15208	699
956	15224	684
957	15237	668
958	15253	652
959	15269	636
960	15283	620
961	15301	604
962	15317	588
963	15332	572
964	15346	556
965	15360	540
966	15374	524
967	15390	508
968	15409	492
969	15424	477
970	15439	461
971	15452	445
972	15467	429
973	15483	413
974	15500	397
975	15518	381
976	15533	365
977	15548	349
978	15562	333
979	15579	317
980	15594	302
981	15609	286
982	15625	270
983	15642	254
984	15658	238
985	15674	222
986	15688	206
987	15703	190
988	15721	174
989	15734	158
990	15749	143
991	15765	127
992	15780	111
993	15796	95
994	15810	79
995	15823	63
996	15838	47
997	15854	31
998	15869	15
999	15884	0
